date,home_team,away_team,winner,first_shooter
8/3/1999,Rwanda,Kenya,Kenya,
8/7/1999,Rwanda,Burundi,Rwanda,
8/7/1999,Zambia,Mozambique,Zambia,
8/14/1999,Indonesia,Singapore,Indonesia,
8/28/1999,Namibia,Eswatini,Namibia,
11/26/1999,Gabon,Togo,Togo,
2/4/2000,Romania,Georgia,Romania,
2/12/2000,South Africa,Tunisia,South Africa,
2/13/2000,Nigeria,Cameroon,Cameroon,Nigeria
2/19/2000,United States,Colombia,Colombia,United States
3/19/2000,Suriname,Saint Lucia,Suriname,
4/29/2000,British Virgin Islands,Sint Maarten,British Virgin Islands,
4/30/2000,British Virgin Islands,Antigua and Barbuda,Antigua and Barbuda,
5/10/2000,Maldives,Sri Lanka,Sri Lanka,
5/11/2000,Senegal,Mali,Senegal,
5/20/2000,Malawi,Angola,Angola,
5/21/2000,Barbados,Cuba,Barbados,
6/4/2000,France,Japan,France,France
6/7/2000,Iran,Egypt,Egypt,
6/11/2000,Lesotho,Zambia,Lesotho,
6/29/2000,Netherlands,Italy,Italy,Italy
7/14/2000,Libya,Chad,Libya,
7/16/2000,Mozambique,Lesotho,Lesotho,
9/3/2000,Togo,Sierra Leone,Togo,
10/4/2000,United Arab Emirates,South Korea,United Arab Emirates,
10/28/2000,Kenya,Uganda,Uganda,
12/2/2000,Ethiopia,Rwanda,Ethiopia,
1/17/2001,China PR,Egypt,Egypt,
1/27/2001,South Korea,Paraguay,South Korea,
2/11/2001,Eswatini,Zambia,Eswatini,
7/12/2001,Ynys Môn,Jersey,Ynys Môn,
7/13/2001,Guernsey,Ynys Môn,Guernsey,
7/29/2001,Uruguay,Honduras,Honduras,Uruguay
8/3/2001,China PR,North Korea,North Korea,
8/3/2001,Kuwait,Trinidad and Tobago,Kuwait,
8/5/2001,Kuwait,North Korea,North Korea,
8/18/2001,Zambia,Angola,Angola,
10/24/2001,Kenya,Uganda,Kenya,
10/24/2001,Tanzania,DR Congo,Tanzania,
12/18/2001,Ethiopia,Burundi,Ethiopia,
1/6/2002,Martinique,Haiti,Martinique,
1/26/2002,Canada,Martinique,Canada,Canada
1/27/2002,Mexico,South Korea,South Korea,South Korea
1/30/2002,United States,Canada,United States,United States
2/10/2002,Senegal,Cameroon,Cameroon,Cameroon
2/12/2002,Cyprus,Switzerland,Cyprus,
2/15/2002,China PR,Slovenia,Slovenia,
2/16/2002,Thailand,North Korea,North Korea,
3/30/2002,Botswana,South Africa,South Africa,
5/17/2002,Russia,Belarus,Belarus,
5/19/2002,Russia,Serbia,Serbia,
6/16/2002,Spain,Republic of Ireland,Spain,Republic of Ireland
6/22/2002,South Korea,Spain,South Korea,South Korea
7/21/2002,South Africa,Madagascar,South Africa,
9/5/2002,Iraq,Iran,Iraq,
9/7/2002,Syria,Iran,Iran,
9/17/2002,Iran,Morocco,Iran,
